product_name,category,min_price_inr,max_price_inr,price_unit,raw_price,supplier_name,location,state,verified,rating,review_count,min_order_qty,description,product_url,scraped_at,data_source
Potassium Nitrate Fertilizer,Chemical & Pharma,22860.13,40523.4,Litre,"₹22,860 - ₹40,523/Drum",Premier Enterprises,Ludhiana,Punjab,False,4.7,63,5 Drum,High-quality potassium nitrate fertilizer sourced directly from manufacturers.,,2026-06-12T12:55:32.828006,synthetic
PCB Prototype Board,Electronics,24222.88,34986.85,Pack of 100,"₹24,223 - ₹34,987/Unit",Shree International,Ahmedabad,Gujarat,False,4.4,255,100 Pack of 10,High-quality pcb prototype board sourced directly from manufacturers.,,2026-06-12T12:55:32.818348,synthetic
Vertical Machining Centre,Industrial Machinery,2321435.27,5313528.43,Set,"₹2,321,435 - ₹5,313,528/Unit",Modern Works,Pune,Maharashtra,True,4.7,145,100 Set,High-quality vertical machining centre sourced directly from manufacturers.,,2026-06-12T12:55:32.813328,synthetic
Antibacterial Sports Fabric,Textiles & Apparel,722.05,1795.35,Roll,"₹722 - ₹1,795/Piece",National International,Ludhiana,Punjab,False,4.2,392,500 Piece,High-quality antibacterial sports fabric sourced directly from manufacturers.,,2026-06-12T12:55:32.826511,synthetic
Groundnut Kernels Bold,Agricultural Products,177.43,287.23,Bag (50 Kg),₹177 - ₹287/Bag (50 Kg),National Exports,Vadodara,Gujarat,True,,,50 MT,High-quality groundnut kernels bold sourced directly from manufacturers.,,2026-06-12T12:55:32.832636,synthetic
Sunflower Seeds,Agricultural Products,2743.23,3750.65,Bag (50 Kg),"₹2,743 - ₹3,751/MT",Sri Traders,Rajkot,Gujarat,True,4.4,104,50 MT,High-quality sunflower seeds sourced directly from manufacturers.,,2026-06-12T12:55:32.833718,synthetic
Antibacterial Sports Fabric,Textiles & Apparel,677.42,751.18,Roll,₹677 - ₹751/Piece,Anand Solutions,Pune,Maharashtra,True,4.2,377,50 Roll,High-quality antibacterial sports fabric sourced directly from manufacturers.,,2026-06-12T12:55:32.826447,synthetic
Non-Woven PP Fabric,Textiles & Apparel,1005.72,1149.28,Kg,"₹1,006 - ₹1,149/Piece",National Exports,Ludhiana,Punjab,False,4.4,33,10 Meter,High-quality non-woven pp fabric sourced directly from manufacturers.,,2026-06-12T12:55:32.825260,synthetic
Banana Powder Spray Dried,Agricultural Products,620.66,1386.74,Bag (50 Kg),"₹621 - ₹1,387/Kg",New Works,Pune,Maharashtra,True,4.8,121,100 Kg,High-quality banana powder spray dried sourced directly from manufacturers.,,2026-06-12T12:55:32.834535,synthetic
LCD Display Panel,Electronics,27088.18,56498.99,Pack of 10,"₹27,088 - ₹56,499/Piece",New International,Indore,Madhya Pradesh,True,4.4,318,5 Pack of 10,High-quality lcd display panel sourced directly from manufacturers.,,2026-06-12T12:55:32.819151,synthetic
Dried Red Chilli,Agricultural Products,1054.34,1747.78,Quintal,"₹1,054 - ₹1,748/Ton",Premier Enterprises,Nagpur,Maharashtra,True,4.9,224,100 Ton,High-quality dried red chilli sourced directly from manufacturers.,,2026-06-12T12:55:32.833006,synthetic
Industrial UPS System,Electronics,19438.78,37354.64,Unit,"₹19,439 - ₹37,355/Pack of 100",Advanced Exports,Mumbai,Maharashtra,False,4.9,365,10 Pack of 100,High-quality industrial ups system sourced directly from manufacturers.,,2026-06-12T12:55:32.819429,synthetic
Dried Red Chilli,Agricultural Products,2443.2,2622.72,Bag (50 Kg),"₹2,443 - ₹2,623/Bag (50 Kg)",Premier Manufacturers,Coimbatore,Tamil Nadu,True,4.5,333,10 Ton,High-quality dried red chilli sourced directly from manufacturers.,,2026-06-12T12:55:32.833085,synthetic
Ammonium Sulphate,Chemical & Pharma,24432.04,32230.14,Drum,"₹24,432 - ₹32,230/Drum",Indian Works,Delhi,Delhi,True,3.8,462,1 Litre,High-quality ammonium sulphate sourced directly from manufacturers.,,2026-06-12T12:55:32.830589,synthetic
Black Pepper Whole,Agricultural Products,1975.38,4560.31,Quintal,"₹1,975 - ₹4,560/Ton",Apex Pvt Ltd,Noida,Uttar Pradesh,False,4.1,335,50 MT,High-quality black pepper whole sourced directly from manufacturers.,,2026-06-12T12:55:32.832169,synthetic
Gear Cutting Machine,Industrial Machinery,2880924.7,3439503.4,Piece,"₹2,880,925 - ₹3,439,503/Piece",Anand Corporation,Kolkata,West Bengal,True,,,100 Piece,High-quality gear cutting machine sourced directly from manufacturers.,,2026-06-12T12:55:32.812718,synthetic
Raspberry Pi 4 Module,Electronics,24194.72,57321.44,Unit,"₹24,195 - ₹57,321/Unit",Global Exports,Ludhiana,Punjab,True,3.9,318,1 Unit,High-quality raspberry pi 4 module sourced directly from manufacturers.,,2026-06-12T12:55:32.816882,synthetic
Titanium Dioxide Pigment,Chemical & Pharma,28794.3,65016.58,Litre,"₹28,794 - ₹65,017/MT",Bharat Industries,Rajkot,Gujarat,True,4.8,319,500 Drum,High-quality titanium dioxide pigment sourced directly from manufacturers.,,2026-06-12T12:55:32.827841,synthetic
Sunflower Seeds,Agricultural Products,1003.14,1715.43,Quintal,"₹1,003 - ₹1,715/Kg",Raj Enterprises,Mumbai,Maharashtra,True,3.5,499,100 Quintal,High-quality sunflower seeds sourced directly from manufacturers.,,2026-06-12T12:55:32.833859,synthetic
Chickpea (Chana Dal),Agricultural Products,910.18,1068.66,Bag (50 Kg),"₹910 - ₹1,069/Kg",Raj Solutions,Noida,Uttar Pradesh,True,3.8,401,50 Quintal,High-quality chickpea (chana dal) sourced directly from manufacturers.,,2026-06-12T12:55:32.834097,synthetic
Pneumatic Drill Press,Industrial Machinery,2375361.38,3271457.79,Unit,"₹2,375,361 - ₹3,271,458/Unit",Royal Works,Indore,Madhya Pradesh,True,3.9,302,1 Set,High-quality pneumatic drill press sourced directly from manufacturers.,,2026-06-12T12:55:32.812678,synthetic
Centrifugal Pump,Industrial Machinery,2926491.77,3627711.15,Piece,"₹2,926,492 - ₹3,627,711/Unit",Sri Traders,Rajkot,Gujarat,True,,,50 Piece,High-quality centrifugal pump sourced directly from manufacturers.,,2026-06-12T12:55:32.815627,synthetic
Vertical Machining Centre,Industrial Machinery,1721815.96,2391026.5,Unit,"₹1,721,816 - ₹2,391,026/Unit",Indian Corporation,Jaipur,Rajasthan,False,4.6,416,50 Piece,High-quality vertical machining centre sourced directly from manufacturers.,,2026-06-12T12:55:32.813423,synthetic
BLDC Motor Controller,Electronics,10489.88,23437.08,Pack of 10,"₹10,490 - ₹23,437/Pack of 10",New Works,Kanpur,Uttar Pradesh,True,,,500 Unit,High-quality bldc motor controller sourced directly from manufacturers.,,2026-06-12T12:55:32.817902,synthetic
Dried Red Chilli,Agricultural Products,603.69,1266.51,Quintal,"₹604 - ₹1,267/Kg",Raj International,Noida,Uttar Pradesh,True,5.0,481,5 Bag (50 Kg),High-quality dried red chilli sourced directly from manufacturers.,,2026-06-12T12:55:32.833028,synthetic
Industrial Salt,Chemical & Pharma,28116.63,59879.87,MT,"₹28,117 - ₹59,880/Drum",Royal Enterprises,Ludhiana,Punjab,True,,,10 Kg,High-quality industrial salt sourced directly from manufacturers.,,2026-06-12T12:55:32.830851,synthetic
Sunflower Seeds,Agricultural Products,589.86,781.39,Kg,₹590 - ₹781/Kg,Indian Pvt Ltd,Chennai,Tamil Nadu,True,4.2,222,1 MT,High-quality sunflower seeds sourced directly from manufacturers.,,2026-06-12T12:55:32.833787,synthetic
Banana Powder Spray Dried,Agricultural Products,1044.08,1203.41,Bag (50 Kg),"₹1,044 - ₹1,203/MT",Global Enterprises,Jaipur,Rajasthan,True,3.6,283,1 Kg,High-quality banana powder spray dried sourced directly from manufacturers.,,2026-06-12T12:55:32.834553,synthetic
Ginger Dry Slices,Agricultural Products,238.37,574.62,MT,₹238 - ₹575/Bag (50 Kg),Bharat Traders,Kolkata,West Bengal,True,4.0,469,10 Ton,High-quality ginger dry slices sourced directly from manufacturers.,,2026-06-12T12:55:32.834663,synthetic
Ferric Chloride Solution,Chemical & Pharma,13322.38,25544.3,Litre,"₹13,322 - ₹25,544/Litre",Sri Enterprises,Delhi,Delhi,True,4.9,192,50 Kg,High-quality ferric chloride solution sourced directly from manufacturers.,,2026-06-12T12:55:32.829955,synthetic
Industrial Epoxy Resin,Chemical & Pharma,1113.92,1709.88,Bag,"₹1,114 - ₹1,710/MT",Apex Manufacturers,Bangalore,Karnataka,True,3.8,262,500 Litre,High-quality industrial epoxy resin sourced directly from manufacturers.,,2026-06-12T12:55:32.828203,synthetic
Ginger Dry Slices,Agricultural Products,549.97,612.33,Ton,₹550 - ₹612/Bag (50 Kg),Star Industries,Rajkot,Gujarat,True,5.0,67,500 Kg,High-quality ginger dry slices sourced directly from manufacturers.,,2026-06-12T12:55:32.834643,synthetic
MOSFET Transistor Pack,Electronics,12983.85,26429.37,Piece,"₹12,984 - ₹26,429/Piece",Global Corporation,Faridabad,Haryana,False,4.7,366,50 Pack of 10,High-quality mosfet transistor pack sourced directly from manufacturers.,,2026-06-12T12:55:32.817183,synthetic
Bamboo Terry Towel,Textiles & Apparel,1192.23,1773.65,Roll,"₹1,192 - ₹1,774/Meter",New Traders,Coimbatore,Tamil Nadu,True,,,100 Kg,High-quality bamboo terry towel sourced directly from manufacturers.,,2026-06-12T12:55:32.822984,synthetic
Pellet Mill Machine,Industrial Machinery,2291377.81,4313392.72,Set,"₹2,291,378 - ₹4,313,393/Set",Apex Enterprises,Jaipur,Rajasthan,True,4.7,315,100 Set,High-quality pellet mill machine sourced directly from manufacturers.,,2026-06-12T12:55:32.814362,synthetic
Belt Conveyor System,Industrial Machinery,2788119.72,6710487.57,Set,"₹2,788,120 - ₹6,710,488/Piece",Apex Traders,Mumbai,Maharashtra,True,5.0,38,5 Unit,High-quality belt conveyor system sourced directly from manufacturers.,,2026-06-12T12:55:32.811344,synthetic
BLDC Motor Controller,Electronics,25267.46,49224.66,Pack of 100,"₹25,267 - ₹49,225/Pack of 100",Indian International,Rajkot,Gujarat,True,3.8,197,50 Pack of 100,High-quality bldc motor controller sourced directly from manufacturers.,,2026-06-12T12:55:32.817807,synthetic
Sunflower Seeds,Agricultural Products,2061.94,5009.83,Kg,"₹2,062 - ₹5,010/Kg",Anand Enterprises,Noida,Uttar Pradesh,True,,,50 MT,High-quality sunflower seeds sourced directly from manufacturers.,,2026-06-12T12:55:32.833735,synthetic
Acetone Solvent,Chemical & Pharma,17994.87,27535.05,Litre,"₹17,995 - ₹27,535/Kg",Star Enterprises,Noida,Uttar Pradesh,True,3.9,169,50 Litre,High-quality acetone solvent sourced directly from manufacturers.,,2026-06-12T12:55:32.829210,synthetic
Hydrochloric Acid Industrial,Chemical & Pharma,23780.31,35982.67,Litre,"₹23,780 - ₹35,983/Bag",Modern Manufacturers,Nagpur,Maharashtra,True,,,10 Litre,High-quality hydrochloric acid industrial sourced directly from manufacturers.,,2026-06-12T12:55:32.827135,synthetic
Polyethylene Glycol,Chemical & Pharma,7208.3,16029.51,Drum,"₹7,208 - ₹16,030/Kg",Sri Corporation,Chennai,Tamil Nadu,True,5.0,452,5 Litre,High-quality polyethylene glycol sourced directly from manufacturers.,,2026-06-12T12:55:32.829325,synthetic
Vibrating Screen,Industrial Machinery,1904734.02,3514456.8,Set,"₹1,904,734 - ₹3,514,457/Unit",Sri Industries,Pune,Maharashtra,True,3.9,259,500 Set,High-quality vibrating screen sourced directly from manufacturers.,,2026-06-12T12:55:32.814236,synthetic
Polyethylene Glycol,Chemical & Pharma,23688.69,36128.49,Litre,"₹23,689 - ₹36,128/Bag",Royal International,Delhi,Delhi,True,,,5 Kg,High-quality polyethylene glycol sourced directly from manufacturers.,,2026-06-12T12:55:32.829369,synthetic
Urea Prilled Fertilizer,Chemical & Pharma,19443.15,28547.6,Bag,"₹19,443 - ₹28,548/Kg",Advanced Pvt Ltd,Mumbai,Maharashtra,False,4.0,106,500 Litre,High-quality urea prilled fertilizer sourced directly from manufacturers.,,2026-06-12T12:55:32.830232,synthetic
Industrial UPS System,Electronics,7597.36,13118.45,Unit,"₹7,597 - ₹13,118/Unit",Global Industries,Indore,Madhya Pradesh,True,3.7,262,50 Piece,High-quality industrial ups system sourced directly from manufacturers.,,2026-06-12T12:55:32.819451,synthetic
Energy Meter,Electronics,25704.85,43653.23,Pack of 100,"₹25,705 - ₹43,653/Piece",Apex Solutions,Ludhiana,Punjab,True,3.5,207,1 Piece,High-quality energy meter sourced directly from manufacturers.,,2026-06-12T12:55:32.820024,synthetic
Jute Hessian Cloth,Textiles & Apparel,991.9,1423.81,Meter,"₹992 - ₹1,424/Meter",Bharat Pvt Ltd,Delhi,Delhi,True,3.6,111,100 Piece,High-quality jute hessian cloth sourced directly from manufacturers.,,2026-06-12T12:55:32.822863,synthetic
Industrial Epoxy Resin,Chemical & Pharma,983.06,1255.78,Kg,"₹983 - ₹1,256/Kg",National Works,Vadodara,Gujarat,True,4.4,210,10 Kg,High-quality industrial epoxy resin sourced directly from manufacturers.,,2026-06-12T12:55:32.828388,synthetic
Hydrogen Peroxide 35%,Chemical & Pharma,24231.15,60235.82,Litre,"₹24,231 - ₹60,236/Litre",National Traders,Hyderabad,Telangana,True,3.6,128,1 Kg,High-quality hydrogen peroxide 35% sourced directly from manufacturers.,,2026-06-12T12:55:32.828979,synthetic
Industrial Ethernet Switch,Electronics,18509.46,27638.87,Pack of 100,"₹18,509 - ₹27,639/Pack of 10",Shree Manufacturers,Noida,Uttar Pradesh,False,4.7,491,5 Pack of 10,High-quality industrial ethernet switch sourced directly from manufacturers.,,2026-06-12T12:55:32.820695,synthetic
Potassium Nitrate Fertilizer,Chemical & Pharma,10242.9,18255.75,Litre,"₹10,243 - ₹18,256/Litre",New Solutions,Ahmedabad,Gujarat,False,4.1,323,50 Litre,High-quality potassium nitrate fertilizer sourced directly from manufacturers.,,2026-06-12T12:55:32.828036,synthetic
Urea Prilled Fertilizer,Chemical & Pharma,11072.55,12707.19,Bag,"₹11,073 - ₹12,707/Bag",Raj Traders,Kolkata,West Bengal,True,4.2,53,1 Bag,High-quality urea prilled fertilizer sourced directly from manufacturers.,,2026-06-12T12:55:32.830071,synthetic
Gear Cutting Machine,Industrial Machinery,1626844.96,2740827.62,Piece,"₹1,626,845 - ₹2,740,828/Piece",Anand Works,Gurgaon,Haryana,False,4.0,129,100 Piece,High-quality gear cutting machine sourced directly from manufacturers.,,2026-06-12T12:55:32.812993,synthetic
MOSFET Transistor Pack,Electronics,17834.5,23783.11,Pack of 100,"₹17,834 - ₹23,783/Unit",Modern Works,Ludhiana,Punjab,False,,,50 Unit,High-quality mosfet transistor pack sourced directly from manufacturers.,,2026-06-12T12:55:32.817365,synthetic
Yellow Corn Maize,Agricultural Products,2788.0,4650.77,Quintal,"₹2,788 - ₹4,651/MT",Anand Manufacturers,Gurgaon,Haryana,False,4.1,269,50 Bag (50 Kg),High-quality yellow corn maize sourced directly from manufacturers.,,2026-06-12T12:55:32.831860,synthetic
Reflective Safety Vest,Textiles & Apparel,106.05,199.21,Piece,₹106 - ₹199/Kg,Indian Enterprises,Surat,Gujarat,True,,,1 Piece,High-quality reflective safety vest sourced directly from manufacturers.,,2026-06-12T12:55:32.825061,synthetic
Ferric Chloride Solution,Chemical & Pharma,2200.5,4526.44,Kg,"₹2,200 - ₹4,526/Kg",Global Industries,Kanpur,Uttar Pradesh,True,4.8,204,500 Litre,High-quality ferric chloride solution sourced directly from manufacturers.,,2026-06-12T12:55:32.829850,synthetic
Industrial Ethernet Switch,Electronics,5962.66,11280.54,Piece,"₹5,963 - ₹11,281/Pack of 10",National International,Pune,Maharashtra,True,3.9,146,50 Unit,High-quality industrial ethernet switch sourced directly from manufacturers.,,2026-06-12T12:55:32.820665,synthetic
Wheat Flour Maida,Agricultural Products,2478.16,3045.61,Kg,"₹2,478 - ₹3,046/Quintal",Raj Manufacturers,Nagpur,Maharashtra,False,4.5,1,10 Ton,High-quality wheat flour maida sourced directly from manufacturers.,,2026-06-12T12:55:32.834028,synthetic
Antibacterial Sports Fabric,Textiles & Apparel,753.92,896.93,Kg,₹754 - ₹897/Roll,Indian International,Ahmedabad,Gujarat,True,4.2,239,50 Roll,High-quality antibacterial sports fabric sourced directly from manufacturers.,,2026-06-12T12:55:32.826569,synthetic
Chickpea (Chana Dal),Agricultural Products,274.4,344.06,Ton,₹274 - ₹344/Ton,Advanced Traders,Coimbatore,Tamil Nadu,True,4.1,318,1 Bag (50 Kg),High-quality chickpea (chana dal) sourced directly from manufacturers.,,2026-06-12T12:55:32.834138,synthetic
Pneumatic Drill Press,Industrial Machinery,1774916.91,3820156.24,Piece,"₹1,774,917 - ₹3,820,156/Unit",Anand Manufacturers,Gurgaon,Haryana,False,,,5 Unit,High-quality pneumatic drill press sourced directly from manufacturers.,,2026-06-12T12:55:32.812497,synthetic
RF Signal Amplifier,Electronics,8174.18,9506.05,Piece,"₹8,174 - ₹9,506/Pack of 100",Sri International,Rajkot,Gujarat,False,3.6,115,10 Unit,High-quality rf signal amplifier sourced directly from manufacturers.,,2026-06-12T12:55:32.818412,synthetic
Isopropyl Alcohol 99%,Chemical & Pharma,3961.93,5982.95,MT,"₹3,962 - ₹5,983/Kg",Raj International,Indore,Madhya Pradesh,True,,,10 MT,High-quality isopropyl alcohol 99% sourced directly from manufacturers.,,2026-06-12T12:55:32.827325,synthetic
Titanium Dioxide Pigment,Chemical & Pharma,3877.25,5192.62,MT,"₹3,877 - ₹5,193/Litre",Anand Solutions,Gurgaon,Haryana,True,4.9,253,1 Kg,High-quality titanium dioxide pigment sourced directly from manufacturers.,,2026-06-12T12:55:32.827861,synthetic
Yellow Corn Maize,Agricultural Products,2001.95,4855.02,MT,"₹2,002 - ₹4,855/Quintal",New Exports,Surat,Gujarat,False,4.2,350,100 Bag (50 Kg),High-quality yellow corn maize sourced directly from manufacturers.,,2026-06-12T12:55:32.831759,synthetic
Net Embroidered Lace,Textiles & Apparel,505.27,915.36,Meter,₹505 - ₹915/Meter,Shree Works,Kanpur,Uttar Pradesh,True,3.9,18,500 Kg,High-quality net embroidered lace sourced directly from manufacturers.,,2026-06-12T12:55:32.824942,synthetic
Centrifugal Pump,Industrial Machinery,902840.11,1043512.43,Set,"₹902,840 - ₹1,043,512/Piece",National Manufacturers,Delhi,Delhi,False,4.2,175,500 Unit,High-quality centrifugal pump sourced directly from manufacturers.,,2026-06-12T12:55:32.815599,synthetic
Silk Dupioni Fabric,Textiles & Apparel,629.6,1391.38,Roll,"₹630 - ₹1,391/Piece",Anand Industries,Gurgaon,Haryana,True,3.9,381,5 Kg,High-quality silk dupioni fabric sourced directly from manufacturers.,,2026-06-12T12:55:32.822509,synthetic
Fresh Pomegranate Arils,Agricultural Products,781.25,1356.43,Kg,"₹781 - ₹1,356/Ton",Star Enterprises,Surat,Gujarat,True,4.9,482,10 Quintal,High-quality fresh pomegranate arils sourced directly from manufacturers.,,2026-06-12T12:55:32.832844,synthetic
Vertical Machining Centre,Industrial Machinery,449525.84,818222.96,Piece,"₹449,526 - ₹818,223/Piece",Royal Exports,Noida,Uttar Pradesh,True,,,100 Set,High-quality vertical machining centre sourced directly from manufacturers.,,2026-06-12T12:55:32.813647,synthetic
Microfiber Cleaning Cloth,Textiles & Apparel,1072.35,2046.12,Meter,"₹1,072 - ₹2,046/Piece",Bharat Solutions,Bangalore,Karnataka,True,4.1,23,1 Piece,High-quality microfiber cleaning cloth sourced directly from manufacturers.,,2026-06-12T12:55:32.825601,synthetic
Microfiber Cleaning Cloth,Textiles & Apparel,646.72,1128.49,Meter,"₹647 - ₹1,128/Piece",Anand Corporation,Ludhiana,Punjab,True,,,10 Roll,High-quality microfiber cleaning cloth sourced directly from manufacturers.,,2026-06-12T12:55:32.825624,synthetic
Spandex Knit Fabric,Textiles & Apparel,659.84,890.65,Roll,₹660 - ₹891/Kg,Premier Corporation,Bangalore,Karnataka,True,3.8,71,500 Kg,High-quality spandex knit fabric sourced directly from manufacturers.,,2026-06-12T12:55:32.823488,synthetic
Potassium Nitrate Fertilizer,Chemical & Pharma,18130.66,21775.03,Kg,"₹18,131 - ₹21,775/Kg",New Works,Delhi,Delhi,True,4.2,431,100 Kg,High-quality potassium nitrate fertilizer sourced directly from manufacturers.,,2026-06-12T12:55:32.827943,synthetic
Sodium Hydroxide Flakes,Chemical & Pharma,4436.57,5626.39,Kg,"₹4,437 - ₹5,626/Litre",Modern Exports,Coimbatore,Tamil Nadu,True,4.8,467,10 MT,High-quality sodium hydroxide flakes sourced directly from manufacturers.,,2026-06-12T12:55:32.826843,synthetic
Citric Acid Monohydrate,Chemical & Pharma,12397.83,29111.83,Kg,"₹12,398 - ₹29,112/Bag",Shree International,Nagpur,Maharashtra,True,4.7,333,500 Kg,High-quality citric acid monohydrate sourced directly from manufacturers.,,2026-06-12T12:55:32.828812,synthetic
Centrifugal Pump,Industrial Machinery,1879070.37,4430662.46,Piece,"₹1,879,070 - ₹4,430,662/Piece",Indian Works,Pune,Maharashtra,True,4.7,15,10 Set,High-quality centrifugal pump sourced directly from manufacturers.,,2026-06-12T12:55:32.815553,synthetic
Spandex Knit Fabric,Textiles & Apparel,244.02,411.75,Kg,₹244 - ₹412/Piece,Global Works,Coimbatore,Tamil Nadu,True,,,1 Kg,High-quality spandex knit fabric sourced directly from manufacturers.,,2026-06-12T12:55:32.823671,synthetic
Pellet Mill Machine,Industrial Machinery,2905669.9,5580614.01,Piece,"₹2,905,670 - ₹5,580,614/Piece",National Solutions,Rajkot,Gujarat,False,3.7,247,10 Piece,High-quality pellet mill machine sourced directly from manufacturers.,,2026-06-12T12:55:32.814338,synthetic
Injection Molding Machine,Industrial Machinery,2320855.44,5298339.36,Unit,"₹2,320,855 - ₹5,298,339/Set",Premier Manufacturers,Gurgaon,Haryana,True,4.3,22,1 Set,High-quality injection molding machine sourced directly from manufacturers.,,2026-06-12T12:55:32.812151,synthetic
Industrial Grinder,Industrial Machinery,2942745.27,5131765.78,Unit,"₹2,942,745 - ₹5,131,766/Piece",Global Pvt Ltd,Chennai,Tamil Nadu,True,,,1 Piece,High-quality industrial grinder sourced directly from manufacturers.,,2026-06-12T12:55:32.815174,synthetic
Denim Twill Fabric,Textiles & Apparel,123.6,198.28,Kg,₹124 - ₹198/Piece,Global Works,Gurgaon,Haryana,True,4.1,294,10 Piece,High-quality denim twill fabric sourced directly from manufacturers.,,2026-06-12T12:55:32.823461,synthetic
Reflective Safety Vest,Textiles & Apparel,114.94,197.29,Meter,₹115 - ₹197/Piece,Indian Pvt Ltd,Coimbatore,Tamil Nadu,True,,,10 Piece,High-quality reflective safety vest sourced directly from manufacturers.,,2026-06-12T12:55:32.825137,synthetic
Centrifugal Pump,Industrial Machinery,1910645.42,3532248.5,Piece,"₹1,910,645 - ₹3,532,248/Set",Royal Corporation,Bangalore,Karnataka,True,3.6,329,5 Set,High-quality centrifugal pump sourced directly from manufacturers.,,2026-06-12T12:55:32.815530,synthetic
Sodium Silicate Solution,Chemical & Pharma,14746.15,35276.51,Bag,"₹14,746 - ₹35,277/Kg",Premier Enterprises,Faridabad,Haryana,True,4.2,329,1 Drum,High-quality sodium silicate solution sourced directly from manufacturers.,,2026-06-12T12:55:32.830422,synthetic
Calcium Carbonate Powder,Chemical & Pharma,14996.51,30072.95,Bag,"₹14,997 - ₹30,073/MT",National Works,Rajkot,Gujarat,False,4.5,207,1 Bag,High-quality calcium carbonate powder sourced directly from manufacturers.,,2026-06-12T12:55:32.829604,synthetic
Mango Pulp Alphonso,Agricultural Products,1770.67,3350.2,MT,"₹1,771 - ₹3,350/MT",Sri Industries,Noida,Uttar Pradesh,True,3.6,437,50 Bag (50 Kg),High-quality mango pulp alphonso sourced directly from manufacturers.,,2026-06-12T12:55:32.834353,synthetic
